controller_url,controller_file,resource_name
/src/main/java/com/wti/admin/bizDvr/ctrl/BudgetDvrRqstSttnController.java,BudgetDvrRqstSttnController.java,budgetDvrRqstSttnService
/src/main/java/com/wti/admin/bizMng/dbMng/ctrl/BudgetDvrController.java,BudgetDvrController.java,budgetDvrService
/src/main/java/com/wti/admin/bizMng/dbMng/ctrl/JoinStdnExcelRegController.java,JoinStdnExcelRegController.java,JoinStdnExcelRegService
/src/main/java/com/wti/admin/bizMng/dbMng/ctrl/StdnRegExcelRegInfoController.java,StdnRegExcelRegInfoController.java,stdnRegExcelRegInfoService
/src/main/java/com/wti/admin/bizMng/histMng/ctrl/HistInqrController.java,HistInqrController.java,histInqrService
/src/main/java/com/wti/admin/bizMng/histMng/ctrl/HistMngController.java,HistMngController.java,HistMngService
/src/main/java/com/wti/admin/bizMng/histMng/ctrl/HistMngExcelRegController.java,HistMngExcelRegController.java,HistMngExcelRegService
/src/main/java/com/wti/admin/bizMng/histMng/ctrl/HistMngWhlController.java,HistMngWhlController.java,HistMngWhlService
/src/main/java/com/wti/admin/bizMng/hmpyLinkMng/ctrl/HmpyLinkMngWhlController.java,HmpyLinkMngWhlController.java,HmpyLinkMngWhlService
/src/main/java/com/wti/admin/bizMng/hmpyLinkMng/ctrl/HmpyLinkMngWhlExcelRegController.java,HmpyLinkMngWhlExcelRegController.java,HmpyLinkMngWhlExcelRegService
/src/main/java/com/wti/admin/bizMng/mbrSttn/ctrl/MbrAdminRoleController.java,MbrAdminRoleController.java,MbrAdminRoleService
/src/main/java/com/wti/admin/bizMng/mbrSttn/ctrl/MbrAdminRoleDetlController.java,MbrAdminRoleDetlController.java,MbrAdminRoleDetlService
/src/main/java/com/wti/admin/bizMng/mbrSttn/ctrl/MbrCtlgController.java,MbrCtlgController.java,mbrCtlgService
/src/main/java/com/wti/admin/bizMng/mbrSttn/ctrl/MbrDetlController.java,MbrDetlController.java,MbrDetlService
/src/main/java/com/wti/admin/bizMng/mbrSttn/ctrl/MbrItmzController.java,MbrItmzController.java,mbrItmzService
/src/main/java/com/wti/admin/bizMng/ntthMng/ctrl/IntrrtSttmntInfoController.java,IntrrtSttmntInfoController.java,intrrtSttmntInfoService
/src/main/java/com/wti/admin/bizMng/ntthMng/ctrl/SchNwsInfoController.java,SchNwsInfoController.java,schNwsInfoService
/src/main/java/com/wti/admin/bizMng/ntthMng/ctrl/SchNwsMngController.java,SchNwsMngController.java,schNwsMngService
/src/main/java/com/wti/admin/bizMng/poolMng/ctrl/JoinEnpAplyInfoController.java,JoinEnpAplyInfoController.java,JoinEnpAplyInfoService
