xml_url,inXml
/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml,/wqxml/adm/23eict/bizAply/eictBizAplyInfo.xml
/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml,/wqxml/adm/21cndept/bizMng/cndeptOtcmEvalReg.xml
/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml,/wqxml/adm/20spclhs/bizMng/spclhsOtcmEvalReg.xml
/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml,/wqxml/adm/22techo/bizMng/techoOtcmEvalReg.xml
/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml,/wqxml/adm/23eict/bizMng/eictOtcmEvalReg.xml
/wqxml/adm/10bizMng/bizMng/otcmEvalSttn.xml,/wqxml/cmn/popup/mbrInqr.xml
/wqxml/adm/10bizMng/histMng/histMng.xml,/wqxml/adm/10bizMng/histMng/histMngExcelReg.xml
/wqxml/adm/10bizMng/hmpyLinkMng/hmpyLinkMngWhl.xml,/wqxml/adm/10bizMng/hmpyLinkMng/hmpyLinkMngWhlExcelReg.xml
/wqxml/adm/10bizMng/mbrSttn/mbrAdminRole.xml,/wqxml/adm/10bizMng/mbrSttn/mbrAdminRoleDetl.xml
/wqxml/adm/10bizMng/mbrSttn/mbrDetlNew.xml,/wqxml/cmn/popup/indutyPopup.xml
/wqxml/adm/10bizMng/mbrSttn/mbrItmz.xml,/wqxml/adm/10bizMng/mbrSttn/mbrDetlNew.xml
/wqxml/adm/10bizMng/mbrSttn/mbrItmz_mobile.xml,/wqxml/adm/10bizMng/mbrSttn/mbrDetl.xml
/wqxml/adm/10bizMng/ntthMng/intrrtViolTSttn.xml,/wqxml/adm/10bizMng/ntthMng/intrrtViolDetl.xml
/wqxml/adm/10bizMng/ntthMng/schlNwsMng.xml,/wqxml/adm/10bizMng/ntthMng/schlNwsInfo.xml
/wqxml/adm/10bizMng/poolMng/JoinEnpPoolSttn.xml,/wqxml/adm/10bizMng/poolMng/JoinEnpAplyInfo.xml
/wqxml/adm/10bizMng/poolMng/SpctrPoolSttn.xml,/wqxml/adm/10bizMng/poolMng/SpctrAplyInfo.xml
/wqxml/adm/10bizMng/reg/bizNotcSttn.xml,/wqxml/adm/10bizMng/reg/bizNotcReg.xml
/wqxml/adm/10bizMng/reg/bizRegInfo.xml,/wqxml/cmn/popup/rlorgChc.xml
/wqxml/adm/10bizMng/reg/bizRegInfo.xml,/wqxml/cmn/popup/chrgrChc.xml
/wqxml/adm/10bizMng/reg/bizSttn.xml,/wqxml/adm/10bizMng/reg/bizRegInfo.xml
/wqxml/adm/10bizMng/reg/bizSttn.xml,/wqxml/adm/10bizMng/reg/bizReg.xml
/wqxml/adm/20spclhs/bizMng/jobCstmClsAdmSttn.xml,/wqxml/cmn/popup/mbrInqr.xml
/wqxml/adm/20spclhs/bizMng/jobCstmClsAdmSttn.xml,/wqxml/adm/20spclhs/bizAply/spclhsBizAplyInfo.xml
